"","AA","section1_score","section2_score","section3_score","section3_weighted","section1_weighted","section2_weighted","total_score","candidate_type"
"1",1,96,93,54.22,48,23.25,13.56,84.81,"University Degree"
"2",2,92,37,50,46,9.25,12.5,67.75,"University Degree"
"3",3,92,65,61.11,46,16.25,15.28,77.53,"University Degree"
"4",4,92,43,51,46,10.75,12.75,69.5,"University Degree"
"5",5,100,24,64.22,50,6,16.06,72.06,"University Degree"
"6",6,64,62,70.89,32,15.5,17.72,65.22,"University Degree"
"7",7,44,25,53.22,22,6.25,13.31,41.56,"University Degree"
"8",8,100,42,66.11,50,10.5,16.53,77.03,"University Degree"
"9",9,100,50,70.22,50,12.5,17.56,80.06,"University Degree"
"10",10,96,65,57.56,48,16.25,14.39,78.64,"University Degree"
"11",11,100,27,50.89,50,6.75,12.72,69.47,"University Degree"
"12",12,100,37,55,50,9.25,13.75,73,"University Degree"
"13",13,92,52,37.89,46,13,9.47,68.47,"University Degree"
"14",14,52,47,58.11,26,11.75,14.53,52.28,"University Degree"
"15",15,40,7,41.78,20,1.75,10.44,32.19,"University Degree"
"16",16,60,17,45.89,30,4.25,11.47,45.72,"University Degree"
"17",17,92,43,59.89,46,10.75,14.97,71.72,"University Degree"
"18",18,80,40,26.44,40,10,6.61,56.61,"University Degree"
"19",19,76,34,61.89,38,8.5,15.47,61.97,"University Degree"
"20",20,96,25,55.44,48,6.25,13.86,68.11,"University Degree"
"21",21,44,17,42.33,22,4.25,10.58,36.83,"University Degree"
"22",22,32,7,39.78,16,1.75,9.94,27.69,"University Degree"
"23",23,68,47,69.89,34,11.75,17.47,63.22,"University Degree"
"24",24,16,25,30.22,8,6.25,7.56,21.81,"University Degree"
"25",25,100,55,43.56,50,13.75,10.89,74.64,"University Degree"
"26",26,64,37,50.56,32,9.25,12.64,53.89,"University Degree"
"27",27,100,91,38.67,50,22.75,9.67,82.42,"University Degree"
"28",28,92,25,60.33,46,6.25,15.08,67.33,"University Degree"
"29",29,100,48,50.11,50,12,12.53,74.53,"University Degree"
"30",30,100,65,49.89,50,16.25,12.47,78.72,"University Degree"
"31",31,80,50,60.56,40,12.5,15.14,67.64,"University Degree"
"32",32,36,24,32,18,6,8,32,"University Degree"
"33",33,92,32,69.22,46,8,17.31,71.31,"University Degree"
"34",34,80,57,56.44,40,14.25,14.11,68.36,"University Degree"
"35",35,100,55,61.33,50,13.75,15.33,79.08,"University Degree"
"36",36,36,34,39.67,18,8.5,9.92,36.42,"University Degree"
"37",37,64,45,64.33,32,11.25,16.08,59.33,"University Degree"
"38",38,100,60,47.78,50,15,11.94,76.94,"University Degree"
"39",39,92,38,48.56,46,9.5,12.14,67.64,"University Degree"
"40",40,100,68,64.78,50,17,16.19,83.19,"University Degree"
"41",41,100,65,60,50,16.25,15,81.25,"University Degree"
"42",42,80,58,65.11,40,14.5,16.28,70.78,"University Degree"
"43",43,88,71,67,44,17.75,16.75,78.5,"University Degree"
"44",44,100,63,66.89,50,15.75,16.72,82.47,"University Degree"
"45",45,96,55,48.89,48,13.75,12.22,73.97,"University Degree"
"46",46,100,78,59.78,50,19.5,14.94,84.44,"University Degree"
"47",47,56,42,69.33,28,10.5,17.33,55.83,"University Degree"
"48",48,92,45,56.56,46,11.25,14.14,71.39,"University Degree"
"49",49,88,32,78.11,44,8,19.53,71.53,"University Degree"
"50",50,92,24,47.78,46,6,11.94,63.94,"University Degree"
"51",51,100,53,42.56,50,13.25,10.64,73.89,"University Degree"
"52",52,44,62,33.78,22,15.5,8.44,45.94,"University Degree"
"53",53,88,45,41.22,44,11.25,10.31,65.56,"University Degree"
"54",54,88,24,48.44,44,6,12.11,62.11,"University Degree"
"55",55,100,42,50.22,50,10.5,12.56,73.06,"University Degree"
"56",56,96,50,39.11,48,12.5,9.78,70.28,"University Degree"
"57",57,100,27,55.44,50,6.75,13.86,70.61,"University Degree"
"58",58,100,34,57.11,50,8.5,14.28,72.78,"University Degree"
"59",59,76,42,54.89,38,10.5,13.72,62.22,"University Degree"
"60",60,100,55,48.78,50,13.75,12.19,75.94,"University Degree"
"61",61,100,38,63.89,50,9.5,15.97,75.47,"University Degree"
"62",62,76,37,73.67,38,9.25,18.42,65.67,"University Degree"
"63",63,100,93,75,50,23.25,18.75,92,"University Degree"
"64",64,100,57,50.67,50,14.25,12.67,76.92,"University Degree"
"65",65,92,35,60.33,46,8.75,15.08,69.83,"University Degree"
"66",66,100,88,71.44,50,22,17.86,89.86,"University Degree"
"67",67,92,37,54.44,46,9.25,13.61,68.86,"University Degree"
"68",68,100,86,57.44,50,21.5,14.36,85.86,"University Degree"
"69",69,80,55,65.78,40,13.75,16.44,70.19,"University Degree"
"70",70,100,27,52.44,50,6.75,13.11,69.86,"University Degree"
"71",71,100,43,58.11,50,10.75,14.53,75.28,"University Degree"
"72",72,100,67,55.89,50,16.75,13.97,80.72,"University Degree"
"73",73,100,71,33.78,50,17.75,8.44,76.19,"University Degree"
"74",74,84,63,57.67,42,15.75,14.42,72.17,"University Degree"
"75",75,96,34,70.44,48,8.5,17.61,74.11,"University Degree"
"76",76,100,42,42.89,50,10.5,10.72,71.22,"University Degree"
"77",77,64,65,65.44,32,16.25,16.36,64.61,"University Degree"
"78",78,96,27,46,48,6.75,11.5,66.25,"University Degree"
"79",79,100,19,58.78,50,4.75,14.69,69.44,"University Degree"
"80",80,84,30,50.22,42,7.5,12.56,62.06,"University Degree"
"81",81,88,58,55.33,44,14.5,13.83,72.33,"University Degree"
"82",82,56,22,64.89,28,5.5,16.22,49.72,"University Degree"
"83",83,100,55,57.89,50,13.75,14.47,78.22,"University Degree"
"84",84,88,43,55,44,10.75,13.75,68.5,"University Degree"
